SlNo,Code,Country,2000,2005,2010,2014,2015,2016,2017,2019,2020,2021,2022,2023,2024,2025
44,180,Dem. Rep. of the Congo,0.0,0.2,0.7,3.0,3.8,6.2,8.6,,8.6,10.9,12.2,13.6,15.0,16.5
45,184,Cook Islands,15.7,26.2,35.7,48.0,51.0,54.0,54.0,65.2,,70.8,74.6,78.4,82.4,86.4
46,188,Costa Rica,5.8,22.1,36.5,53.0,59.8,66.0,71.6,85.9,,97.4,100.0,100.0,100.0,100.0
47,191,Croatia,6.6,33.1,56.6,68.6,69.8,72.7,67.1,91.5,,88.6,91.2,93.6,95.9,98.1
48,192,Cuba,0.5,9.7,15.9,29.1,37.3,43.0,49.1,49.1,,63.0,68.3,73.7,79.3,85.1
49,196,Cyprus,15.3,32.8,53.0,69.3,71.7,75.9,80.7,84.4,,93.2,96.7,100.0,100.0,100.0
50,203,Czechia,9.8,35.3,68.8,74.2,75.7,76.5,78.7,87.7,,85.7,86.1,86.2,86.0,85.5
51,204,Benin,0.2,1.3,3.1,6.0,11.3,12.0,14.1,,31.4,32.1,36.6,41.4,46.4,51.8
52,208,Denmark,39.2,82.7,88.7,96.0,96.3,97.0,97.1,97.8,,89.3,86.1,82.4,78.2,73.5
53,212,Dominica,8.8,38.5,47.5,57.5,65.0,67.0,69.6,69.6,,72.6,73.4,74.0,74.4,74.6
54,214,Dominican Republic,3.7,11.5,31.4,49.6,54.2,63.9,65.0,65.0,,81.2,86.2,91.4,96.6,100.0
55,218,Ecuador,1.5,6.0,29.0,45.6,48.9,54.1,57.3,,69.0,76.6,81.9,87.3,92.8,98.5
56,222,El Salvador,1.2,4.2,15.9,24.8,26.8,29.0,31.3,57.4,,61.5,68.3,75.3,82.8,90.6
57,226,Equatorial Guinea,0.1,1.1,6.0,18.9,21.3,23.8,26.2,,26.2,32.9,35.5,38.1,40.9,43.7
58,231,Ethiopia,0.0,0.2,0.8,7.7,13.9,15.4,18.6,,18.6,24.5,27.1,29.9,32.8,35.8
59,232,Eritrea,0.1,0.2,0.6,1.0,1.1,1.2,1.3,,8.3,7.4,8.6,10.0,11.4,12.9
